Cases,PA_status,BR,BRenblr,BRenblr_habit_consistency,BRenblr_impl_intent,BRenblr_action_planning_schedule,BRenblr_impl_intent_places,BRenblr_impl_intent_graded_tasks,BRenblr_impl_intent_clearmind,BRenblr_impl_intent_variety,BR_action_planning,BRenblr_reminders,BRenblr_impl_intent_find_joy,BRenblr_habit_routine,BRenblr_habit_find_joy,BRenblr_min_distract_impl_intent,BRenblr_goal_setting,BRenblr_impl_intent_remind_benefit,BRenblr_action_planning_motivation,BRenblr_impl_intent_weather,BRenblr_self_monitoring,BRbrrier,BRbrrier_self_monitoring_HR_breathing,BRbrrier_overexert,BRbrrier_symptom_monitoring,BRbrrier_self_monitoring,BRbrrier_habit_discontinuity,BaCap,BaCapenblr,BaCapenblr_selfEfficacy,BaCapbrrier,BaCapbrrier_selfEfficacy_prcvd_smptmsHF,BaCapbrrier_selfEfficacy_HF,BaCapbrrier_selfEfficacy_heart,BaCapbrrier_selfEfficacy_prcvd_smptms,BaCapbrrier_perceived_exertion,BaCapbrrier_selfEfficacy_hlth_cndtns_typePA,BaCapbrrier_selfEfficacy_ hlth_cndtns,BaCapbrrier_selfEfficacy_older_age,BaCon,BaConenblr,BaConenblr_pos_expctncy_health,BaConenblr_pos_expctncy_mood,BaConenblr_pos_expctncy_HFmanage,BaConenblr_pos_expctncy_RAmanage,BaConenblr_pos_expctncy_mobility,BaConenblr_pos_expctncy_cardio_health,BaConbrrier,BaConbrrier_risk_heart,BaConbrrier_risk_safety_exercise,BaConbrrier_neg_expctncy_sympcomrbd,BaConbrrier_neg_expctncy_symptoms_HF,BaConbrrier_risk_health_conditions,ECR,ECRenblr,ECRenblr_environment,ECRenblr_equipment,ECRenblr_fascilities,ECRenblr_cardiac_device,ECRenblr_exercise_programmes,ECRbrrier,ECRbrrier_cardiac_device,ECRbrrier_weather,ECRbrrier_environment,ECRbrrier_lack_fascilities,Emotion,Emotionenblr,Emotionenblr_mood,Emotionbrrier,Emotionbrrier_stress_anxiety,Emotionbrrier_negative_emotions,Emotionbrrier_frustration,Emotionbrrier_fear,Emotionbrrier_mood,Goals,Goalsenblr,Goalsenblr_goal_priority,Goalsenblr_goal_outcome_independ,Goalsenblr_goal_outcome_preventMI,Goalsenblr_goal_behaviour,Goalsenblr_goal_outcome_health,Goalsbrrier,Goalsbrrier_goal_conflict,Goalsbrrier_goal_behavioural,Intention,Intentionenblr,Intentionenblr_to_increase,Intentionenblr_maintain_HP,Intentionenblr_maintain_within_ability,Intentionbrrier,Knowledge,Knowledgeenblr,Knowledgeenblr_ safety,Knowledgeenblr_ symptom_manage,Knowledgeenblr_ somatic,Knowledgeenblr_benefits,Knowledgeenblr_ disease,Knowledgebrrier,Knowledgebrrier_safety,Knowledgebrrier_exercise techniques,MADP,MADPenblr,MADPenblr_pros/cons,MADPbrrier,MADPbrrier_symptom hypervigilance,MADPbrrier_attention/distraction,MADPbrrier_symptom hypervigilance,MADPbrrier_forgetfulness,Optimism,Optimismenblr,Optimismenblr_positive_attitude_PA,Optimismenblr_new_ways_active,Optimismenblr_future_ability,Optimismenblr_positive_attitude,Optimismenblr_positive_attitude,Optimismenblr_positive_attitude,Optimismbrrier,Optimismbrrier_pesimistic_expectation,Reinforcement,Reinforcementenblr,Reinforcementenblr_ extrinsic_reward_praise,Reinforcementenblr_intrinsic_reward,Reinforcementenblr_extrinsic_reward_accomplish,Reinforcementenblr_positive_feedback,Reinforcementbrrier,Reinforcementbrrier_negative reward_progress,Reinforcementbrrier_negative reward_completion,SIenblr,SIenblr,SIenblr_social_support_practical_compan,SIenblr_clinical_advice,SIenblr_social_support_emotional,SIenblr_clinical_advice_reassurance,SIenblr_social support_practical_clinical,SIbrrier,SIbrrier_clinical_advice,SIbrrier_clinical_advice_typePA,SIbrrier_social_influences,SPR,"
SPRenblr",SPRenblr_perceived_identity,SPRbrrier,SPRbrrier_perceived_identity,Skills,Skillsenblr,Skillsenblr_safety,Skillsenblr_symptom_management,Skillsenblr_equipment,Skillsenblr_exercise_techniques,Skillsenblr_symptom_hypervigilance,Skillsbrrier,Skillsbrrier_lack_skills_symptom_management,Skillsbrrier_lack_skills _equipment,Skillsbrrier_lack_skills_symptom_hypervigilance,Skillsbrrier_lack_exercise_techniques
Participant15_active_Fares_version3,1,23,23,4,4,2,1,0,0,3,0,0,5,0,1,0,0,1,0,3,0,0,0,0,0,0,0,10,1,1,9,0,0,0,6,3,0,0,0,30,19,16,0,0,3,0,0,11,3,0,0,0,8,7,4,2,2,0,0,0,3,0,2,1,0,3,1,1,2,2,0,0,0,0,9,7,5,0,0,2,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,12,12,0,4,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
Participant15_sedentary_Fares_version3,0,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,11,0,2,0,6,0,2,1,0,18,15,9,0,3,3,0,2,3,1,0,0,0,2,8,1,0,0,0,0,1,7,0,0,4,3,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,2,10,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,4,0,2,1,2
Participant16_Mark_sedentary_version3,0,7,6,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,14,0,0,14,0,1,0,7,3,1,0,2,6,6,3,1,1,1,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,12,5,4,1,2,2,1,1,1,0,0,0,0,1,3,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,0,0,3,0,0,0,0,8,8,0,1,1,1,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1
Participant16_active_mark_version3,1,14,13,4,2,0,0,0,0,2,0,1,2,1,0,0,2,0,0,0,0,1,0,0,0,1,0,12,1,1,11,3,1,0,5,0,1,1,0,17,12,5,2,3,3,0,0,5,2,0,0,0,3,4,3,1,0,2,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,1,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1
Participant1_active_Robert_version3,1,16,16,6,3,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,21,3,3,18,0,2,0,8,0,8,0,0,31,25,11,7,2,1,2,3,6,3,2,0,0,1,15,14,5,0,0,9,0,1,0,1,0,0,5,3,3,2,0,0,0,0,2,15,12,4,4,0,4,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,3,1,1,0,1,3,3,0,0,1,1,1,0,0,0,5,5,0,1,1,3,0,0,0,6,6,0,1,3,2,0,0,0,0,0,1,1,1,0,0,3,2,1,0,0,0,1,1,0,0,0,1
Participant1_sedentary_Robert_version3,0,13,9,2,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,4,0,1,0,0,3,13,0,0,13,0,1,1,4,0,3,4,0,9,3,2,0,0,1,0,0,6,2,0,0,0,4,12,2,0,0,2,0,0,10,0,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,7,3,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,1,0,0,2
Participant2_James_active_version3,1,23,21,6,5,1,1,0,0,0,0,1,1,0,1,0,3,0,0,3,0,2,1,1,0,0,0,5,2,2,3,0,0,0,3,0,0,0,0,17,13,13,0,0,0,0,0,4,2,0,0,0,2,11,3,1,2,0,0,0,8,1,6,1,0,2,1,1,1,0,0,0,0,1,15,12,3,0,2,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,1,1,11,9,2,1,0,5,0,1,2,2,9,9,0,0,9,0,0,0,0,12,12,1,5,3,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,2,0,0,0,2
Participant2_sedentary_james_version3,0,9,7,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,21,0,0,21,0,2,0,4,3,1,8,6,20,10,8,1,0,0,0,1,10,2,1,4,0,3,7,0,0,0,0,0,0,7,0,3,3,1,5,3,3,2,0,0,0,0,2,6,2,0,1,0,1,0,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,3,0,2,0,0,1,0,0,0,3,2,0,0,2,0,1,0,1,8,8,2,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,2,0
Participant3_David_active_version3,1,19,19,4,1,0,0,0,0,0,0,0,7,0,0,0,6,0,0,2,0,0,0,0,0,0,0,14,2,2,12,5,0,0,0,3,1,3,0,23,17,10,6,0,0,0,1,6,1,0,0,0,5,6,4,4,0,0,0,0,2,0,2,0,0,5,1,1,4,1,0,0,0,3,13,10,2,0,0,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,3,0,0,0,0,1,2,0,0,6,6,0,1,5,0,0,0,0,6,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,3,0,1,0,2
Participant3_David_sedentary_version3,0,7,6,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,7,0,0,7,0,1,0,0,2,1,3,0,14,8,6,1,0,0,1,0,6,0,0,0,0,6,6,3,3,0,0,0,0,3,0,3,0,0,2,1,1,1,0,0,0,0,1,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,4,4,0,1,0,2,1,0,0,0,3,3,0,2,1,0,0,0,0,4,4,0,0,3,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
Participant4_Nancy_active_version3,1,17,15,9,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,2,2,0,0,0,0,7,1,1,6,2,1,2,0,0,0,1,0,18,11,10,1,0,0,0,0,7,0,0,0,0,7,6,2,2,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,2,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,6,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,2,1,0,0,0,1
Participant4_Nancy_sedentary_version3,0,9,9,0,1,1,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,9,1,2,2,0,2,0,2,0,18,10,7,1,0,0,0,2,8,0,0,0,0,8,5,0,0,0,0,0,0,5,0,4,1,0,2,1,1,1,0,0,0,0,1,4,3,0,3,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,3,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,9,9,0,0,6,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,2,0,1,0,2
Participant5_active_Michael_verison3,1,19,16,6,1,2,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,3,1,0,1,0,0,10,4,4,6,1,1,2,0,0,1,1,0,22,13,10,2,0,0,2,1,9,2,1,0,1,5,19,12,1,0,0,0,11,7,1,5,1,0,3,1,1,2,0,0,0,0,2,14,10,1,4,0,2,2,4,3,0,1,1,0,0,1,0,6,4,2,1,0,0,1,2,0,2,2,0,0,2,0,0,2,0,4,4,2,0,0,0,1,1,0,0,4,4,1,1,2,0,0,0,0,10,10,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,2,0,0,0,2
Participant5_sedentary_ Michael_version3,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,11,0,0,11,1,3,3,4,0,0,0,0,16,12,4,1,3,0,0,4,4,0,2,0,0,2,10,5,1,0,0,0,4,5,0,4,0,1,5,1,1,4,1,1,0,1,1,5,5,1,0,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,2,2,0,2,0,0,2,1,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,7,3,1,2,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,1,0,0,0,1
Participant6_Linda_sedentary_version3,0,13,12,3,2,1,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,1,0,0,0,10,0,0,10,5,1,0,0,2,2,0,0,11,8,4,0,0,3,1,1,3,0,1,2,0,0,8,2,2,0,0,0,0,6,0,6,0,0,3,1,1,2,0,0,0,0,2,8,1,0,1,0,0,0,7,7,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,4,3,0,0,1,3,3,0,2,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,10,10,1,0,3,1,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1
Participant7_Mary_sedentary_version3,0,27,23,8,3,0,3,0,0,0,0,0,5,1,1,0,0,2,0,1,0,4,0,4,0,0,0,19,0,0,19,3,1,2,3,2,2,6,0,16,10,6,0,1,1,0,2,6,0,0,1,2,4,8,2,1,0,0,0,1,6,0,4,2,0,4,2,2,2,1,0,0,0,1,7,4,1,0,0,2,1,3,3,0,3,3,2,0,1,0,4,3,0,0,0,3,0,1,1,0,2,0,0,2,2,0,0,0,3,2,0,0,2,0,0,0,1,1,2,2,0,0,2,0,0,0,0,7,7,0,1,5,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0
Participant7_active_Mary_version3,1,19,19,11,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,3,3,4,1,1,0,0,2,0,0,0,25,23,16,3,4,0,0,1,2,2,0,0,0,0,9,3,3,0,0,0,0,6,0,5,1,0,1,0,0,1,0,0,0,0,1,16,12,1,5,0,1,5,4,4,0,0,0,0,0,0,0,4,4,1,0,2,1,0,0,0,0,4,0,0,4,2,0,1,1,4,3,0,2,1,0,0,0,1,1,2,2,0,1,1,0,0,0,0,7,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,0,0,3,1,1,0,2
Participant8_active_John_version3,1,15,15,6,4,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,3,0,0,1,1,1,0,0,0,16,13,10,1,0,0,0,2,4,1,0,0,0,3,2,1,1,0,0,0,0,1,0,0,1,0,3,1,1,2,1,0,0,0,1,9,6,4,1,0,0,1,3,3,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,4,2,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Participant8_sedentary_john_version3,0,6,6,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,1,2,1,0,0,0,1,0,15,8,6,0,0,0,0,2,7,2,1,1,0,3,2,0,0,0,0,0,0,2,0,0,2,0,6,1,1,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0,2,0,0,0,0,3,0,0,3,0,1,0,2,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,5,5,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
